"effectsize_measure","effectsize_measure_unified","specifiers","of_interest"
"Reading Memory",NA,NA,"not_relevant"
"Rating Memory",NA,NA,"not_relevant"
"β_Algo",NA,NA,"not_relevant"
"ω_Algo",NA,NA,"no"
"β (Navigation)",NA,NA,"not_relevant"
"β (Ads and Pop-ups)",NA,NA,"not_relevant"
"β (Amount)",NA,NA,"not_relevant"
"β (Search)",NA,NA,"not_relevant"
"β (Perceived seriousness score)",NA,NA,"not_relevant"
"Kaiser-Meyer-Olkin (KMO) Measure of Sampling Adequacy",NA,NA,"not_relevant"
"Bartlett's Test of Sphericity",NA,NA,"not_relevant"
"Standardised Root Mean Square Residual (SRMR)",NA,NA,"not_relevant"
"Chi-squared test",NA,NA,"not_relevant"
"Root Mean Squared Error of Approximation (RMSEA)",NA,NA,"not_relevant"
"Intra-Class Correlation (ICC) for RiCE's factors",NA,NA,"not_relevant"
"Total RiCE ICCs",NA,NA,"not_relevant"
"RiCE-Ex Scores",NA,NA,"not_relevant"
"RiCE-Se Scores",NA,NA,"not_relevant"
"η²(H)","eta_squared","H","maybe"
"X²",NA,NA,"not_relevant"
"Not significant",NA,NA,"not_relevant"
"Regression coefficient",NA,NA,"not_relevant"
"Median Difference",NA,NA,"not_relevant"
"Consistency Percentage",NA,NA,"not_relevant"
"T-Stat",NA,NA,"not_relevant"
"Bayes factor",NA,NA,"not_relevant"
"CMIN/DF",NA,NA,"not_relevant"
"completing impact",NA,NA,"not_relevant"
"Standardized coefficient",NA,NA,"not_relevant"
"M±SD",NA,NA,"not_relevant"
"Coefficient C0",NA,NA,"not_relevant"
"Coefficient C∞",NA,NA,"not_relevant"
"Kendall's Tau-b","kendalls_tau","","yes"
"Average Absolute Deviation",NA,NA,"not_relevant"
"Average Absolute Error (AAE)",NA,NA,"not_relevant"
"Average Deviation",NA,NA,"not_relevant"
"Prediction Performance",NA,NA,"not_relevant"
"Jaccard Index",NA,NA,"not_relevant"
"Standardized β",NA,NA,"not_relevant"
"mean (AVscript)",NA,NA,"not_relevant"
"mean (own tools)",NA,NA,"not_relevant"
"standard deviation (AVscript)",NA,NA,"not_relevant"
"standard deviation (own tools)",NA,NA,"not_relevant"
"SSIM",NA,NA,"not_relevant"
"PSNR",NA,NA,"not_relevant"
"Detection Accuracy",NA,NA,"not_relevant"
"Rotation MAE",NA,NA,"not_relevant"
"Time to Detection (ms)",NA,NA,"not_relevant"
"Detection Attempts (frames)",NA,NA,"not_relevant"
"U1",NA,NA,"not_relevant"
"U2",NA,NA,"not_relevant"
"U3",NA,NA,"not_relevant"
"Mean Usefulness (Text-only)",NA,NA,"not_relevant"
"Mean Transparency (Text-only)",NA,NA,"not_relevant"
"Mean Usefulness (Text + Visual)",NA,NA,"not_relevant"
"Mean Transparency (Text + Visual)",NA,NA,"not_relevant"
"U (Usefulness)",NA,NA,"not_relevant"
"U (Transparency)",NA,NA,"not_relevant"
"U2 (Usefulness)",NA,NA,"not_relevant"
"U6 (Usefulness)",NA,NA,"not_relevant"
"U2 (Transparency)",NA,NA,"not_relevant"
"U6 (Transparency)",NA,NA,"not_relevant"
"U5 (Usefulness)",NA,NA,"not_relevant"
"U5 (Transparency)",NA,NA,"not_relevant"
"U7 (Usefulness)",NA,NA,"not_relevant"
"U8 (Usefulness)",NA,NA,"not_relevant"
"U11 (Usefulness)",NA,NA,"not_relevant"
"U12 (Usefulness)",NA,NA,"not_relevant"
"U7 (Transparency)",NA,NA,"not_relevant"
"U8 (Transparency)",NA,NA,"not_relevant"
"U11 (Transparency)",NA,NA,"not_relevant"
"U12 (Transparency)",NA,NA,"not_relevant"
"Time/Second (Gephi)",NA,NA,"not_relevant"
"Mouse Click (Gephi)",NA,NA,"not_relevant"
"Time/Second (GVQA)",NA,NA,"not_relevant"
"Mouse Click (GVQA)",NA,NA,"not_relevant"
"Intercept (α)",NA,NA,"not_relevant"
"Slope (β)",NA,NA,"not_relevant"
"Integrated Absolute Error (IAE)",NA,NA,"not_relevant"
"Total Expected Rewards",NA,NA,"not_relevant"
"Probability & reward (Using expected values)",NA,NA,"not_relevant"
"Probability & reward (A tradeoff between probability and reward)",NA,NA,"not_relevant"
"Probability & reward (Unspecified strategy using probability and reward)",NA,NA,"not_relevant"
"Probability (Using win probability)",NA,NA,"not_relevant"
"Reward (Choosing the highest reward)",NA,NA,"not_relevant"
"Neither (Choosing the coin flip)",NA,NA,"not_relevant"
"Neither (Choosing at random)",NA,NA,"not_relevant"
"b (Quantity of ADLs)",NA,NA,"not_relevant"
"b (Perceived Quality of Caregiving Help)",NA,NA,"not_relevant"
"b (Internet Skills)",NA,NA,"not_relevant"
"b (Privacy Concerns)",NA,NA,"not_relevant"
"b (Frequency of Using Caregiving Help)",NA,NA,"not_relevant"
"β (contour)",NA,NA,"not_relevant"
"β (heatmap)",NA,NA,"not_relevant"
"β (binary mask)",NA,NA,"not_relevant"
"β (binary mask, IoU)",NA,NA,"not_relevant"
"β (contour, IoU)",NA,NA,"not_relevant"
"β (binary mask, entropy)",NA,NA,"not_relevant"
"β (contour, entropy)",NA,NA,"not_relevant"
"Partial Eta Squared ($\eta_{p}^{2}$)","eta_squared","partial","yes"
"Percentage Points Increase",NA,NA,"not_relevant"
"χ^2",NA,NA,"not_relevant"
"CC score",NA,NA,"not_relevant"
"Hit rate",NA,NA,"not_relevant"
"False alarm rate",NA,NA,"not_relevant"
"Average Pointing Error",NA,NA,"not_relevant"
"NASA-TLX",NA,NA,"not_relevant"
"Mean NASA-TLX",NA,NA,"not_relevant"
"c",NA,NA,"not_relevant"
"Score Difference",NA,NA,"not_relevant"
"Time Difference",NA,NA,"not_relevant"
"Correlation (r)","pearsons_r","","yes"
"Correlation (r) with OE","pearsons_r","","yes"
"Correlation (r) with RSE","pearsons_r","","yes"
"Correlation (r) with LOT-R","pearsons_r","","yes"
"Standardized Regression Coefficient (β) for Age",NA,NA,"not_relevant"
"Standardized Regression Coefficient (β) for Male Gender",NA,NA,"not_relevant"
"Discriminant Limit (ρlimit, OE)",NA,NA,"not_relevant"
"Discriminant Difference (rdiff)",NA,NA,"not_relevant"
"Discriminant Limit (ρlimit, RSE)",NA,NA,"not_relevant"
"Discriminant Limit (ρlimit, LOT-R)",NA,NA,"not_relevant"
"β (TikTok)",NA,NA,"not_relevant"
"β (YouTube)",NA,NA,"not_relevant"
"RSE (TikTok)",NA,NA,"not_relevant"
"RSE (YouTube)",NA,NA,"not_relevant"
"RSE",NA,NA,"not_relevant"
"β (Instagram)",NA,NA,"not_relevant"
"β (Snapchat)",NA,NA,"not_relevant"
"RSE (Instagram)",NA,NA,"not_relevant"
"RSE (Snapchat)",NA,NA,"not_relevant"
"β (Critical Reflection)",NA,NA,"not_relevant"
"RSE (Critical Reflection)",NA,NA,"not_relevant"
"β (Critical Motivation)",NA,NA,"not_relevant"
"RSE (Critical Motivation)",NA,NA,"not_relevant"
"β (Critical Action)",NA,NA,"not_relevant"
"RSE (Critical Action)",NA,NA,"not_relevant"
"External Attribution",NA,NA,"not_relevant"
"Mean Before (M)",NA,NA,"not_relevant"
"Mean After (M)",NA,NA,"not_relevant"
"χ²ₛ",NA,NA,"not_relevant"
"Zₖ",NA,NA,"not_relevant"
"Loading Score",NA,NA,"not_relevant"
"mean number of zone mismatches",NA,NA,"not_relevant"
"mean average walking distance (km)",NA,NA,"not_relevant"
"mean SD of walking distance (km)",NA,NA,"not_relevant"
"mean completion time (min)",NA,NA,"not_relevant"
"mean number of distance analysis triggered",NA,NA,"not_relevant"
"mean task difficulty rating",NA,NA,"not_relevant"
"mean task effort rating",NA,NA,"not_relevant"
"Correctness Rate",NA,NA,"not_relevant"
"Median Accuracy",NA,NA,"not_relevant"
"B (Coefficient of age group being 55+)",NA,NA,"not_relevant"
"B (Coefficient of age group being 55+ after standardizing dependent variable)",NA,NA,"not_relevant"
"df",NA,NA,"not_relevant"
"BF_{01}",NA,NA,"not_relevant"
"Generalized eta squared (η_G^2)","eta_squared","generalized","yes"
"Partial eta squared (η^2_p)","eta_squared","partial","yes"
"Generalized eta squared (η^2_G)","eta_squared","generalized","yes"
"Mean Absolute Error (MAE)",NA,NA,"not_relevant"
"τ (tau)","kendalls_tau","","yes"
"Yes",NA,NA,"not_relevant"
"No",NA,NA,"not_relevant"
"Interquartile Range (IQR)",NA,NA,"not_relevant"
"Precision (PPV)",NA,NA,"not_relevant"
"Recall (TPR)",NA,NA,"not_relevant"
"Response Time (RT) Median",NA,NA,"not_relevant"
"Response Time (RT) IQR",NA,NA,"not_relevant"
"Equivalence Rate",NA,NA,"not_relevant"
"ηP²","eta_squared","partial","yes"
"Face Focus",NA,NA,"not_relevant"
"Politeness",NA,NA,"not_relevant"
"Naturalness",NA,NA,"not_relevant"
"RTLX",NA,NA,"not_relevant"
"Task Duration",NA,NA,"not_relevant"
"Task Accuracy",NA,NA,"not_relevant"
"Relaxation",NA,NA,"not_relevant"
"MATS",NA,NA,"not_relevant"
"generalized η² (ges)","eta_squared","generalized","yes"
"Mean (Charagraph)",NA,NA,"not_relevant"
"SD (Charagraph)",NA,NA,"not_relevant"
"SD (Baseline)",NA,NA,"not_relevant"
"Median (Charagraph)",NA,NA,"not_relevant"
"Median (Baseline)",NA,NA,"not_relevant"
"Weber Fraction (W)",NA,NA,"not_relevant"
"Threshold",NA,NA,"not_relevant"
"standardized effect size",NA,NA,"not_relevant"
"AUC-Judd",NA,NA,"not_relevant"
"NSS",NA,NA,"not_relevant"
"IG",NA,NA,"not_relevant"
"SIM",NA,NA,"not_relevant"
"CC",NA,NA,"not_relevant"
"KL",NA,NA,"not_relevant"
"DTW",NA,NA,"not_relevant"
"TDE",NA,NA,"not_relevant"
"Eyenalysis",NA,NA,"not_relevant"
"REC",NA,NA,"not_relevant"
"DET",NA,NA,"not_relevant"
"CORM",NA,NA,"not_relevant"
"FID",NA,NA,"not_relevant"
"Mean (Human)",NA,NA,"not_relevant"
"Mean (StyleMe)",NA,NA,"not_relevant"
"top-1 accuracy",NA,NA,"not_relevant"
"top-3 accuracy",NA,NA,"not_relevant"
"F offset (cm)",NA,NA,"not_relevant"
"J offset (cm)",NA,NA,"not_relevant"
"β (creation stage is WIP)",NA,NA,"not_relevant"
"β (actionability)",NA,NA,"not_relevant"
"β (justification)",NA,NA,"not_relevant"
"β (specificity)",NA,NA,"not_relevant"
"β (valence)",NA,NA,"not_relevant"
"β (delay)",NA,NA,"not_relevant"
"β (creation stage is WIP * specificity)",NA,NA,"not_relevant"
"β (creation stage is WIP * valence)",NA,NA,"not_relevant"
"β (creation stage is WIP * delay)",NA,NA,"not_relevant"
"β (creation stage is WIP * actionability)",NA,NA,"not_relevant"
"Mental Demand",NA,NA,"not_relevant"
"Temporal Demand",NA,NA,"not_relevant"
"Performance",NA,NA,"not_relevant"
"Frustration",NA,NA,"not_relevant"
"Stress",NA,NA,"not_relevant"
"Helpfulness",NA,NA,"not_relevant"
"No Indicator",NA,NA,"not_relevant"
"Is Typing",NA,NA,"not_relevant"
"Masked Typing",NA,NA,"not_relevant"
"Live Typing",NA,NA,"not_relevant"
"Spearman Rho (ρ)",NA,NA,"not_relevant"
"β (Reencountered)",NA,NA,"not_relevant"
"β (Specter)",NA,NA,"not_relevant"
"β (Global)",NA,NA,"not_relevant"
"β (Linear)",NA,NA,"not_relevant"
"Mean (Papers Opened)",NA,NA,"not_relevant"
"Mean (Papers Saved)",NA,NA,"not_relevant"
"Mean (Reencountered Citations)",NA,NA,"not_relevant"
"Mean (Papers Saved from Reencountered Citations)",NA,NA,"not_relevant"
"Mean (Paper Opens)",NA,NA,"not_relevant"
"SD (Paper Opens)",NA,NA,"not_relevant"
"Mean (Card Opens)",NA,NA,"not_relevant"
"SD (Card Opens)",NA,NA,"not_relevant"
"Mean (FamiliarCite)",NA,NA,"not_relevant"
"SD (FamiliarCite)",NA,NA,"not_relevant"
"Mean (RencontrdCite)",NA,NA,"not_relevant"
"SD (RencontrdCite)",NA,NA,"not_relevant"
"Mean (NoAgmntation)",NA,NA,"not_relevant"
"SD (NoAgmntation)",NA,NA,"not_relevant"
"Mean (Paper Saves)",NA,NA,"not_relevant"
"SD (Paper Saves)",NA,NA,"not_relevant"
"Mean (FamiliarCite - Paper Saves)",NA,NA,"not_relevant"
"SD (FamiliarCite - Paper Saves)",NA,NA,"not_relevant"
"Mean (RencontrdCite - Paper Saves)",NA,NA,"not_relevant"
"SD (RencontrdCite - Paper Saves)",NA,NA,"not_relevant"
"Mean (NoAgmntation - Paper Saves)",NA,NA,"not_relevant"
"SD (NoAgmntation - Paper Saves)",NA,NA,"not_relevant"
"Mean (Search/External - Paper Saves)",NA,NA,"not_relevant"
"SD (Search/External - Paper Saves)",NA,NA,"not_relevant"
"ρ (rho)","spearmans_rho","","yes"
"Adjusted R-squared","r_squared","adjusted","yes"
"Mean (Sighted)",NA,NA,"not_relevant"
"Mean (BVI)",NA,NA,"not_relevant"
"Std.Dev",NA,NA,"not_relevant"
"Mean Performance (F1 Score)",NA,NA,"not_relevant"
"Diff%",NA,NA,"not_relevant"
"Pr.",NA,NA,"not_relevant"
"Rc.",NA,NA,"not_relevant"
"Cite sources",NA,NA,"not_relevant"
"Establish credibility of sources",NA,NA,"not_relevant"
"Triangulate multiple sources",NA,NA,"not_relevant"
"Statistical evidence",NA,NA,"not_relevant"
"Testimonial evidence",NA,NA,"not_relevant"
"Documented evidence",NA,NA,"not_relevant"
"Anecdotal evidence",NA,NA,"not_relevant"
"Analogical evidence",NA,NA,"not_relevant"
"Evidence vetting",NA,NA,"not_relevant"
"Assertive confidence",NA,NA,"not_relevant"
"Acknowledge alternatives or uncertainties",NA,NA,"not_relevant"
"Present different standpoints",NA,NA,"not_relevant"
"r²","r_squared",NA,"checked_test"
"est. ω²","omega_squared",NA,"checked_test"
"Effect Size (Time)","uncertain",NA,"checked_test"
"Effect Size (Accuracy)","uncertain",NA,"checked_test"
"Effect size","uncertain",NA,"checked_test"
"effect size","uncertain",NA,"checked_test"
"
        
         \\omega
        

         2
        
        ","omega_squared",NA,"checked_test"
"r2","r_squared",NA,"checked_test"
"R² Change","uncertain",NA,"checked_test"
"η","eta",NA,"checked_test"
"f^2 (Condition)","f_squared",NA,"checked_test"
"f^2 (Time)","f_squared",NA,"checked_test"
"f^2 (Interaction)","f_squared",NA,"checked_test"
"f^2","f_squared",NA,"checked_test"
"total effect","uncertain",NA,"checked_test"
"effect","uncertain",NA,"checked_test"
"Cohen's δ","cohens_d",NA,"checked_test"
"d'","cohens_d",NA,"checked_test"
"Correlation Coefficient","correlation (unspecified)",NA,"checked_test"
"R","correlation (unspecified)",NA,"checked_test"
"Correlation with annoyance","correlation (unspecified)",NA,"checked_test"
"Correlation with roughness","correlation (unspecified)",NA,"checked_test"
"Correlation with pleasantness","correlation (unspecified)",NA,"checked_test"
"Correlation with preference","correlation (unspecified)",NA,"checked_test"
"Correlation with spectral spread","correlation (unspecified)",NA,"checked_test"
"Correlation with strength","correlation (unspecified)",NA,"checked_test"
"Correlation with irregularity","correlation (unspecified)",NA,"checked_test"
"Correlation with spectral centroid","correlation (unspecified)",NA,"checked_test"
"Correlation coefficient","correlation (unspecified)",NA,"checked_test"
"Correlation between Donation and Affect","correlation (unspecified)",NA,"checked_test"
"Correlation Coefficients for Task Attributes and Activity Attributes","correlation (unspecified)",NA,"checked_test"
"Correlation Coefficients for Stress Level and Task Choice","correlation (unspecified)",NA,"checked_test"
"Correlation Coefficients for Energy Level and Task Choice","correlation (unspecified)",NA,"checked_test"
"R","pearsons_r",NA,"checked_test"
"R_{sp}^{2}","uncertain",NA,"checked_test"
"Correlation","correlation (unspecified)",NA,"checked_test"
"V","cramers_v",NA,"checked_test"
"rτ","kendalls_tau",NA,"checked_test"
"Correlation coefficient","pearsons_r",NA,"checked_test"
"cor","pearsons_r",NA,"checked_test"
"Correlation Coefficient","pearsons_r",NA,"checked_test"
"Correlation with Team Psychological Safety","pearsons_r",NA,"checked_test"
"Correlation with Team Composition","pearsons_r",NA,"checked_test"
"Correlation with Clear Direction","pearsons_r",NA,"checked_test"
"Correlation with Team Cohesion","pearsons_r",NA,"checked_test"
"Correlation with Team Efficacy","pearsons_r",NA,"checked_test"
"r'","pearsons_r",NA,"checked_test"
"Cohen's r","pearsons_r",NA,"checked_test"
"Correlation","pearsons_r",NA,"checked_test"
"rs","spearmans_rho",NA,"checked_test"
"ρ (Rank of Picture Realism and Perceptions)","spearmans_rho",NA,"checked_test"
"Correlation coefficient","spearmans_rho",NA,"checked_test"
"Correlation Coefficient for Empathy","spearmans_rho",NA,"checked_test"
"Correlation Coefficient for Credibility","spearmans_rho",NA,"checked_test"
"Correlation Coefficient for Justice","spearmans_rho",NA,"checked_test"
"Correlation Coefficient for Impact","spearmans_rho",NA,"checked_test"
"Correlation Coefficient for Attractiveness","spearmans_rho",NA,"checked_test"
"Weak positive correlation between RiCE's total score and SRIS's total score (Story-Sentiment-Visualiser)","spearmans_rho",NA,"checked_test"
"Moderate positive correlation between RiCE's total score and CSI's total score (Story-Sentiment-Visualiser)","spearmans_rho",NA,"checked_test"
"Weak positive correlation between RiCE's total score and SRIS's total score (Sound-Sketcher)","spearmans_rho",NA,"checked_test"
"Moderate positive correlation between RiCE's total score and CSI's total score (Sound-Sketcher)","spearmans_rho",NA,"checked_test"
"V","uncertain",NA,"checked_test"
"Cramer's Phi","uncertain",NA,"checked_test"
"D","uncertain",NA,"checked_test"
"d_PSE","uncertain",NA,"checked_test"
"UNKNOWN","uncertain",NA,"checked_test"
